12        全球变化与海气相互作用21          xx所        某洋南部  GASI-02-IND-STSsum            海测330120160721135901-0800  102   路人甲                   GPS探空仪 CF-06-A
22STC083  120160721135954 073018.65S 1043045.92E  6   12.001-9-9.99 28.192 1009.492  77.001   0.362 350.301 
22STC083  120160721135955 073018.68S 1043045.92E  6   12.401-9-9.99 28.182 1009.442  76.701   0.462 351.401 
22STC083  120160721135956 073018.68S 1043045.98E  6   12.901-9-9.99 28.152 1009.392  76.501   0.582 353.001 
22STC083  120160721135957 073018.72S 1043045.98E  6   13.301-9-9.99 28.122 1009.342  76.301   0.722 354.201 
22STC083  120160721135958 073018.72S 1043046.01E  6   13.601-9-9.99 28.102 1009.302  75.901   0.852 354.801 
22STC083  120160721135959 073018.76S 1043046.01E  6   13.901-9-9.99 28.102 1009.282  75.601   1.002 354.801 
22STC083  120160721140000 073018.76S 1043046.03E  6   13.901-9-9.99 28.122 1009.272  75.301   1.152 354.701 
22STC083  120160721140001 073018.76S 1043046.03E  6   13.901-9-9.99 28.162 1009.282  75.101   1.322 354.801 
22STC083  120160721140002 073018.76S 1043046.03E  6   13.601-9-9.99 28.192 1009.302  75.101   1.502 355.201 
22STC083  120160721140003 073018.79S 1043046.03E  6   13.401-9-9.99 28.222 1009.332  75.101   1.692 355.801 
22STC083  120160721140004 073018.83S 1043046.03E  6   13.101-9-9.99 28.242 1009.372  75.101   1.882 356.501 
22STC083  120160721140005 073018.90S 1043046.09E  6   12.701-9-9.99 28.252 1009.412  75.001   2.062 357.101 
22STC083  120160721140006 073018.94S 1043046.14E  6   12.301-9-9.99 28.252 1009.452  74.901   2.242 357.401 
22STC083  120160721140007 073019.01S 1043046.20E  6   11.901-9-9.99 28.262 1009.502  74.901   2.412 357.401 
22STC083  120160721140008 073019.04S 1043046.22E  6   11.501-9-9.99 28.262 1009.552  75.101   2.592 357.301 
22STC083  120160721140009 073019.08S 1043046.25E  6   11.301-9-9.99 28.272 1009.572  75.701   2.782 357.201 
22STC083  120160721140010 073019.12S 1043046.31E  6   11.601-9-9.99 28.282 1009.542  76.901   2.972 357.101 
22STC083  120160721140011 073019.12S 1043046.31E  6   12.601-9-9.99 28.282 1009.422  79.201   3.172 357.001 
22STC083  120160721140012 073019.30S 1043046.31E  6   14.701-9-9.99 28.272 1009.192  80.901   3.372 357.001 
22STC083  120160721140013 073019.58S 1043046.36E  6   17.801-9-9.99 28.242 1008.832  81.101   3.552 357.001 
22STC083  120160721140014 073019.87S 1043046.50E  6   21.901-9-9.99 28.202 1008.372  80.501   3.732 357.001 
22STC083  120160721140015 073020.12S 1043046.61E  6   26.701-9-9.99 28.152 1007.832  79.901   3.912 357.001 
22STC083  120160721140016 073020.38S 1043046.50E  6   31.801-9-9.99 28.092 1007.252  79.501   4.092 357.001 
22STC083  120160721140017 073020.63S 1043046.33E  6   37.001-9-9.99 28.042 1006.672  79.201   4.282 356.901 
22STC083  120160721140018 073020.81S 1043046.22E  6   42.201-9-9.99 27.982 1006.092  79.101   4.472 356.901 
22STC083  120160721140019 073020.95S 1043046.25E  6   47.201-9-9.99 27.932 1005.522  79.001   4.662 356.901 
22STC083  120160721140020 073020.99S 1043046.44E  6   52.201-9-9.99 27.882 1004.962  79.001   4.852 357.001 
22STC083  120160721140021 073021.02S 1043046.66E  6   57.201-9-9.99 27.842 1004.402  79.001   5.042 357.201 
22STC083  120160721140022 073021.20S 1043046.77E  6   62.201-9-9.99 27.792 1003.832  78.901   5.202 357.501 
22STC083  120160721140023 073021.56S 1043046.69E  6   67.301-9-9.99 27.742 1003.262  78.801   5.352 357.801 
22STC083  120160721140024 073021.96S 1043046.58E  6   72.601-9-9.99 27.692 1002.672  78.601   5.492 358.001 
22STC083  120160721140025 073022.25S 1043046.42E  6   77.901-9-9.99 27.642 1002.072  78.501   5.602 358.201 
22STC083  120160721140026 073022.39S 1043046.31E  6   83.301-9-9.99 27.602 1001.472  78.401   5.692 358.201 
22STC083  120160721140027 073022.39S 1043046.36E  6   88.501-9-9.99 27.552 1000.882  78.401   5.772 358.101 
22STC083  120160721140028 073022.46S 1043046.58E  6   93.601-9-9.99 27.502 1000.312  78.301   5.842 358.001 
22STC083  120160721140029 073022.64S 1043046.83E  6   98.701-9-9.99 27.452  999.742  78.201   5.902 358.001 
22STC083  120160721140030 073023.00S 1043046.97E  6  103.701-9-9.99 27.412  999.182  78.101   5.972 357.901 
22STC083  120160721140031 073023.40S 1043047.02E  6  108.801-9-9.99 27.362  998.612  78.001   6.012 357.801 
22STC083  120160721140032 073023.76S 1043046.88E  6  113.901-9-9.99 27.312  998.042  77.901   6.042 357.601 
22STC083  120160721140033 073023.98S 1043046.69E  6  119.101-9-9.99 27.262  997.452  77.901   6.032 357.301 
22STC083  120160721140034 073024.05S 1043046.58E  6  124.401-9-9.99 27.212  996.862  77.901   6.012 356.801 
22STC083  120160721140035 073024.01S 1043046.61E  6  129.701-9-9.99 27.162  996.272  78.001   6.002 356.301 
22STC083  120160721140036 073024.05S 1043046.80E  6  135.001-9-9.99 27.112  995.672  78.001   6.002 355.701 
22STC083  120160721140037 073024.26S 1043046.97E  6  140.301-9-9.99 27.062  995.082  78.001   6.012 355.201 
22STC083  120160721140038 073024.70S 1043047.08E  6  145.501-9-9.99 27.022  994.502  78.001   6.022 354.801 
22STC083  120160721140039 073025.13S 1043047.13E  6  150.701-9-9.99 26.972  993.922  77.901   6.022 354.501 
22STC083  120160721140040 073025.52S 1043047.02E  6  155.901-9-9.99 26.932  993.342  77.801   6.022 354.201 
22STC083  120160721140041 073025.74S 1043046.88E  6  161.001-9-9.99 26.882  992.772  77.801   6.012 354.001 
22STC083  120160721140042 073025.85S 1043046.72E  6  166.001-9-9.99 26.832  992.212  77.801   6.012 353.701 
22STC083  120160721140043 073025.92S 1043046.66E  6  170.901-9-9.99 26.792  991.672  77.801   6.012 353.301 
22STC083  120160721140044 073026.10S 1043046.77E  6  175.601-9-9.99 26.742  991.142  77.801   6.032 352.901 
22STC083  120160721140045 073026.28S 1043046.94E  6  180.201-9-9.99 26.702  990.632  77.801   6.042 352.601 
22STC083  120160721140046 073026.53S 1043047.13E  6  184.801-9-9.99 26.662  990.112  77.901   6.052 352.301 
22STC083  120160721140047 073026.71S 1043047.19E  6  189.501-9-9.99 26.612  989.592  78.001   6.052 352.101 
22STC083  120160721140048 073026.93S 1043047.16E  6  194.401-9-9.99 26.552  989.052  78.201   6.052 352.001 
22STC083  120160721140049 073027.14S 1043047.08E  6  199.501-9-9.99 26.502  988.482  78.401   6.052 351.801 
22STC083  120160721140050 073027.40S 1043047.08E  6  204.801-9-9.99 26.442  987.892  78.501   6.042 351.401 
22STC083  120160721140051 073027.65S 1043047.19E  6  210.301-9-9.99 26.382  987.282  78.601   6.042 351.001 
22STC083  120160721140052 073027.83S 1043047.41E  6  215.701-9-9.99 26.332  986.682  78.701   6.022 350.501 
22STC083  120160721140053 073027.90S 1043047.60E  6  221.101-9-9.99 26.282  986.082  78.801   6.022 349.901 
22STC083  120160721140054 073027.97S 1043047.65E  6  226.401-9-9.99 26.232  985.492  78.901   6.012 349.401 
22STC083  120160721140055 073028.12S 1043047.65E  6  231.601-9-9.99 26.192  984.912  79.101   6.022 348.801 
22STC083  120160721140056 073028.33S 1043047.63E  6  236.701-9-9.99 26.142  984.342  79.301   6.032 348.301 
